Time_Step,Simulated_MSD,Theoretical_MSD
0,1.9544167696057537,0.0
1,3.970424946467408,2.0
2,5.972460290953667,4.0
3,7.396335208970975,6.0
4,9.67333396762714,8.0
5,11.688745027057026,10.0
6,14.082882711861181,12.0
7,15.6274787506818,14.0
8,17.630880548851046,16.0
9,19.701544002356368,18.0
10,21.279274822260764,20.0
11,22.844574727699225,22.0
12,25.09667622474587,24.0
13,27.046610301221964,26.0
14,29.132600847413492,28.0
15,31.59253395222902,30.0
16,33.86809063783427,32.0
17,34.980659955487084,34.0
18,36.899406412427474,36.0
19,38.83457223916855,38.0
20,41.18208367471347,40.0
21,43.850162445254604,42.0
22,46.28743380425528,44.0
23,48.66329595299815,46.0
24,49.28488177748375,48.0
25,52.152084761997806,50.0
26,53.07918362604135,52.0
27,54.60321497030862,54.0
28,56.71219156410664,56.0
29,58.80587235464034,58.0
30,59.78915360705864,60.0
31,61.684970971616096,62.0
32,62.9837944504465,64.0
33,64.82595837930475,66.0
34,66.57467392165255,68.0
35,68.15366535105646,70.0
36,71.4686500952935,72.0
37,73.47549424593973,74.0
38,75.32152919669086,76.0
39,76.86579982589387,78.0
40,77.69859560066416,80.0
41,81.9009375907957,82.0
42,84.59572178433503,84.0
43,85.52772464379998,86.0
44,88.41761793489482,88.0
45,88.27706234135137,90.0
46,89.91214503852405,92.0
47,91.0738258473017,94.0
48,94.63639917340221,96.0
49,95.34369473553656,98.0
50,97.58921167220802,100.0
51,98.94327755932125,102.0
52,101.16918892653791,104.0
53,102.629967638939,106.0
54,107.34988919639692,108.0
55,110.59554963091425,110.0
56,113.88039148980718,112.0
57,115.33827550978638,114.0
58,117.45848583521067,116.0
59,119.79599914185599,118.0
60,120.7262792200219,120.0
61,122.16925102186649,122.0
62,124.63019508096919,124.0
63,126.42715841763973,126.0
64,129.5048413976978,128.0
65,133.11228882057281,130.0
66,135.81352759140083,132.0
67,137.31187078929017,134.0
68,137.06190006230733,136.0
69,140.64276010877808,138.0
70,143.53644541048405,140.0
71,146.96022665343457,142.0
72,150.633577443623,144.0
73,152.3198807461296,146.0
74,155.02731755596358,148.0
75,156.97528947469038,150.0
76,160.2435375007946,152.0
77,162.1942633482589,154.0
78,164.12567701871143,156.0
79,167.49284522899345,158.0
80,168.96923260943677,160.0
81,173.1365798423942,162.0
82,174.02550729805964,164.0
83,173.9636466351961,166.0
84,176.4005962472568,168.0
85,179.59248831854336,170.0
86,182.89068358777604,172.0
87,184.42278964033676,174.0
88,185.70633148634454,176.0
89,188.4576808755595,178.0
90,190.83034024326483,180.0
91,191.3762164678952,182.0
92,194.6088184938902,184.0
93,196.87875539936084,186.0
94,197.91867183543624,188.0
95,200.19474604030034,190.0
96,198.63564631440997,192.0
97,200.31171463219044,194.0
98,203.4973208907027,196.0
99,205.34195942400777,198.0
100,207.05107457123117,200.0
101,209.17755383976987,202.0
102,212.65745098240748,204.0
103,213.70851935848904,206.0
104,215.15707728034081,208.0
105,219.8789846157973,210.0
106,219.275491197341,212.0
107,219.14959465929252,214.0
108,222.56078393718076,216.0
109,223.50167210164562,218.0
110,226.22899593310152,220.0
111,227.93645970529707,222.0
112,228.97991975768778,224.0
113,232.6944882353694,226.0
114,231.13859049870337,228.0
115,232.1780965421862,230.0
116,234.47175505463306,232.0
117,237.6426844919262,234.0
118,239.6678422023049,236.0
119,241.3161773717119,238.0
120,241.10597169686883,240.0
121,242.71557079051288,242.0
122,246.17721768285725,244.0
123,247.3491931357231,246.0
124,250.49268005081265,248.0
125,252.02406222582218,250.0
126,254.4785345999355,252.0
127,254.80912375026563,254.0
128,256.41956040288864,256.0
129,257.75415815671454,258.0
130,260.33577519090665,260.0
131,261.8100655530642,262.0
132,264.9890226040472,264.0
133,267.11830442394205,266.0
134,266.9725856794118,268.0
135,268.2351932486652,270.0
136,269.2186304155885,272.0
137,271.6780986578128,274.0
138,273.2676711368022,276.0
139,273.2948682326286,278.0
140,275.95376307517716,280.0
141,275.1284081012382,282.0
142,278.0331742617276,284.0
143,280.4023551922861,286.0
144,281.0905304311803,288.0
145,283.7148068395826,290.0
146,288.65591110070255,292.0
147,291.5424353326804,294.0
148,297.3066795131818,296.0
149,298.02288268144224,298.0
150,298.92310010012864,300.0
151,299.951164287236,302.0
152,300.71534567971366,304.0
153,304.85095038334896,306.0
154,306.039773983874,308.0
155,308.15238577022575,310.0
156,312.4662150713064,312.0
157,314.4533431471929,314.0
158,315.7277642803609,316.0
159,318.1659356133411,318.0
160,323.2767029742145,320.0
161,324.3836268244702,322.0
162,327.7067621835695,324.0
163,328.2368076636126,326.0
164,331.2533497919732,328.0
165,332.9425302435135,330.0
166,333.17477377809143,332.0
167,334.38152701600535,334.0
168,337.443985604165,336.0
169,340.8429845763401,338.0
170,343.834266456252,340.0
171,343.7051578218659,342.0
172,346.41791726783833,344.0
173,349.92629305319747,346.0
174,351.91480483869987,348.0
175,351.8809052796939,350.0
176,351.95445584371737,352.0
177,350.14831166197024,354.0
178,354.74463722123085,356.0
179,355.0243715603244,358.0
180,357.8214369992786,360.0
181,359.8552274616345,362.0
182,360.98085186462646,364.0
183,365.1596529745684,366.0
184,366.10199467476457,368.0
185,370.97432898547584,370.0
186,374.81739099558945,372.0
187,376.28854768975634,374.0
188,381.76385635710227,376.0
189,387.99125691826293,378.0
190,389.8997502925309,380.0
191,392.6343207461228,382.0
192,394.0676359628025,384.0
193,394.2523791490134,386.0
194,401.8448184771315,388.0
195,405.4047409921672,390.0
196,408.96034084420853,392.0
197,410.5357742193936,394.0
198,412.0115769279617,396.0
199,414.80974162524143,398.0
200,416.02919284676835,400.0
201,420.46762609883615,402.0
202,419.44704963479643,404.0
203,424.41122282576043,406.0
204,425.02511209591006,408.0
205,426.33956961148135,410.0
206,430.39440979704034,412.0
207,434.90629111967394,414.0
208,438.11570075429563,416.0
209,439.65133801505027,418.0
210,440.20109308449344,420.0
211,439.4839363361124,422.0
212,440.27272710509175,424.0
213,441.64689411212595,426.0
214,445.7044609132438,428.0
215,447.0334963336105,430.0
216,451.05825654623374,432.0
217,452.2821529722444,434.0
218,454.6463717230046,436.0
219,456.82527006252116,438.0
220,460.28696588371196,440.0
221,462.0749852797834,442.0
222,466.0393707505899,444.0
223,467.26964110808996,446.0
224,468.88236845808854,448.0
225,472.9870197977399,450.0
226,476.80099340220556,452.0
227,479.8679078516377,454.0
228,483.44744822746196,456.0
229,486.4389309298234,458.0
230,488.0729692633258,460.0
231,492.47208397129793,462.0
232,492.11541801817634,464.0
233,493.8216682781877,466.0
234,497.5912494335789,468.0
235,497.97606661806464,470.0
236,496.5741826731438,472.0
237,497.31976288978615,474.0
238,498.23687286206695,476.0
239,499.96250885488143,478.0
240,504.1627837280211,480.0
241,508.1102225442119,482.0
242,511.7318962617364,484.0
243,512.2408560195338,486.0
244,515.0439836275211,488.0
245,516.4775538698465,490.0
246,517.208170047976,492.0
247,520.7907934276695,494.0
248,521.5281657799086,496.0
249,523.4706189126875,498.0
250,526.4512933917148,500.0
251,530.8128990249952,502.0
252,533.7101162260261,504.0
253,534.2841223376107,506.0
254,534.9933221345319,508.0
255,535.8186534867527,510.0
256,536.249081037083,512.0
257,540.3223881017145,514.0
258,548.0835715332611,516.0
259,552.607515560436,518.0
260,559.2321920093566,520.0
261,560.9169516990744,522.0
262,556.3326858574875,524.0
263,556.3583583518792,526.0
264,558.5414952760348,528.0
265,559.2417560355244,530.0
266,560.1561725598218,532.0
267,560.6928735111547,534.0
268,560.4326767310929,536.0
269,562.8580886851521,538.0
270,564.1127146380791,540.0
271,565.2549276693276,542.0
272,568.2020445754736,544.0
273,568.6631755033895,546.0
274,568.882723321853,548.0
275,572.4192300821566,550.0
276,572.7619469258494,552.0
277,575.7135060108906,554.0
278,580.2065411166881,556.0
279,585.3702774254324,558.0
280,585.7721765976685,560.0
281,586.0833817089593,562.0
282,588.3548427549777,564.0
283,587.2003010137184,566.0
284,590.3217818137924,568.0
285,590.9251522492727,570.0
286,591.2799485626144,572.0
287,594.7110236261307,574.0
288,598.1925718999922,576.0
289,601.6282131533745,578.0
290,603.748579234237,580.0
291,607.0617459756601,582.0
292,610.835010375373,584.0
293,614.9486064968619,586.0
294,615.1194505528139,588.0
295,616.5843015310865,590.0
296,619.05279934591,592.0
297,619.7846714391914,594.0
298,626.6457289826982,596.0
299,632.4226945844282,598.0
300,635.9311677890616,600.0
301,639.4693200085297,602.0
302,644.5169418419637,604.0
303,649.5783128925236,606.0
304,649.5070824428287,608.0
305,650.8306142576364,610.0
306,651.1529365850415,612.0
307,651.3392209915631,614.0
308,655.020022760883,616.0
309,654.3364371137071,618.0
310,653.2534505452709,620.0
311,653.7448163728277,622.0
312,654.1304071602707,624.0
313,660.0617345844673,626.0
314,664.5566565623202,628.0
315,668.4508500797117,630.0
316,667.7079643049358,632.0
317,670.575333777046,634.0
318,670.4794514857803,636.0
319,672.2313200711027,638.0
320,675.9766234694707,640.0
321,675.0086845458216,642.0
322,674.0234938429389,644.0
323,674.7482557661037,646.0
324,681.8566217710089,648.0
325,686.1594266864219,650.0
326,689.6201988346393,652.0
327,689.1122428714518,654.0
328,693.4478418368614,656.0
329,692.4003063654526,658.0
330,693.461009503473,660.0
331,694.8477302214462,662.0
332,696.2684716223049,664.0
333,697.1617542315488,666.0
334,699.7967929494476,668.0
335,701.8092850644113,670.0
336,700.9993590579484,672.0
337,704.4756282444459,674.0
338,703.9710805495298,676.0
339,707.0487613091153,678.0
340,704.7198715218269,680.0
341,708.1528924711354,682.0
342,707.3087687026207,684.0
343,704.3629629205434,686.0
344,700.1846058349628,688.0
345,700.5757063724561,690.0
346,701.681611445899,692.0
347,702.3134698127927,694.0
348,708.2670518723091,696.0
349,712.2663658156015,698.0
350,718.5347078995574,700.0
351,720.3275566103279,702.0
352,721.933139705591,704.0
353,722.03066049262,706.0
354,729.1703392339184,708.0
355,731.4062224854756,710.0
356,734.9251660179726,712.0
357,737.2712369125372,714.0
358,741.1374830997503,716.0
359,742.5061581914325,718.0
360,743.7551106487358,720.0
361,744.3773850493468,722.0
362,749.2096359268444,724.0
363,752.7438622622662,726.0
364,755.1637072296493,728.0
365,752.7397223256489,730.0
366,755.6960236644879,732.0
367,758.0104751360348,734.0
368,759.904780030294,736.0
369,764.0964183203276,738.0
370,765.5601713487722,740.0
371,768.3313626490321,742.0
372,768.5420105506145,744.0
373,769.3868316690272,746.0
374,770.5980651832105,748.0
375,767.4424510809765,750.0
376,763.2987455884447,752.0
377,763.6037304919768,754.0
378,762.6860694350245,756.0
379,765.293651869439,758.0
380,767.0177367529052,760.0
381,765.3735275570798,762.0
382,766.887763429261,764.0
383,769.5549980271654,766.0
384,767.28873664807,768.0
385,769.6671553285047,770.0
386,777.7657756426523,772.0
387,780.4826243552711,774.0
388,783.5564125824022,776.0
389,785.5709972021152,778.0
390,792.1238009261857,780.0
391,796.1054058956194,782.0
392,800.9388318645068,784.0
393,807.4170813715655,786.0
394,813.3187543132071,788.0
395,812.2219344520512,790.0
396,816.9323863614261,792.0
397,821.1707653216484,794.0
398,820.6536173248194,796.0
399,825.5853147552302,798.0
400,829.8854036601757,800.0
401,836.2996392651105,802.0
402,835.6853224155592,804.0
403,839.8787493768051,806.0
404,839.3783275022583,808.0
405,838.758635759338,810.0
406,841.7873975264047,812.0
407,843.8223477102707,814.0
408,842.0081078026064,816.0
409,843.9495507598492,818.0
410,844.824179831254,820.0
411,846.1151371892764,822.0
412,848.1693651795343,824.0
413,850.8034330036262,826.0
414,856.3473033298169,828.0
415,861.5145969509726,830.0
416,861.0650199799487,832.0
417,860.4277643256135,834.0
418,861.6375546845547,836.0
419,864.1254651297472,838.0
420,864.9887087657299,840.0
421,865.8669269157115,842.0
422,869.908103996796,844.0
423,876.1518197415753,846.0
424,879.5991958594733,848.0
425,883.2995757960996,850.0
426,883.7008205707914,852.0
427,884.2595735800946,854.0
428,881.1323714048177,856.0
429,880.831363083443,858.0
430,880.744092649071,860.0
431,881.0779249579739,862.0
432,881.4659386949495,864.0
433,881.0480421020342,866.0
434,882.541044326996,868.0
435,888.8597274266615,870.0
436,893.6828624783791,872.0
437,897.6699630615251,874.0
438,894.3983911469332,876.0
439,901.5486553314166,878.0
440,903.5432666720933,880.0
441,905.7702973397478,882.0
442,909.7227269546161,884.0
443,909.3127575320361,886.0
444,913.2714833808657,888.0
445,912.9600217612758,890.0
446,914.7051596361126,892.0
447,918.6141515734993,894.0
448,922.7953239863843,896.0
449,922.004229388715,898.0
450,924.8409682797729,900.0
451,926.674046497314,902.0
452,930.5808863057852,904.0
453,936.0635762898775,906.0
454,940.2087082835368,908.0
455,938.3902362640957,910.0
456,937.8499638909417,912.0
457,942.458639038535,914.0
458,946.3873559752493,916.0
459,953.5199595189994,918.0
460,948.4463295016309,920.0
461,954.5589316034491,922.0
462,958.3126762065727,924.0
463,956.5668802689476,926.0
464,957.5092866645006,928.0
465,958.2832074067403,930.0
466,954.5115064675675,932.0
467,958.0158547253523,934.0
468,962.0205767230003,936.0
469,964.0581854572467,938.0
470,963.4325808218188,940.0
471,964.3420023290001,942.0
472,968.7236137313674,944.0
473,975.2982209186443,946.0
474,976.8082550597727,948.0
475,979.3859654968775,950.0
476,979.5611451862454,952.0
477,981.8627792162464,954.0
478,982.3168534812215,956.0
479,987.0687394513482,958.0
480,980.583889144181,960.0
481,983.7846417429553,962.0
482,984.2211132391704,964.0
483,984.4270817425258,966.0
484,983.3220280601306,968.0
485,984.1941097804811,970.0
486,985.0102112663437,972.0
487,987.3635514440418,974.0
488,989.4971384725982,976.0
489,987.7169844845247,978.0
490,990.7248123553795,980.0
491,993.1256707159808,982.0
492,998.6670845425558,984.0
493,1002.4760448207516,986.0
494,1004.5808981409958,988.0
495,1012.6685441009804,990.0
496,1015.1206194949534,992.0
497,1008.0472648563026,994.0
498,1003.2513126237558,996.0
499,1006.2964252578693,998.0
500,1004.8618446564534,1000.0
501,1007.7830232649624,1002.0
502,1008.103989866381,1004.0
503,1008.5281783095066,1006.0
504,1006.998634197096,1008.0
505,1012.3408681244438,1010.0
506,1013.1992731123247,1012.0
507,1014.2939589310299,1014.0
508,1018.8533672893612,1016.0
509,1016.2043964677955,1018.0
510,1013.2636970834272,1020.0
511,1018.342185489673,1022.0
512,1020.9605621076619,1024.0
513,1013.1993649999014,1026.0
514,1016.638883454274,1028.0
